40001,30001,10004,002,2000
40002,30015,10005,030,30000
40003,30018,10003,020,20000
40004,30001,10001,004,04000
40005,30001,10001,007,07000
40006,30003,10005,006,06000
40007,30002,10004,008,08000
40008,30003,10001,006,06000
40009,30003,10001,006,06000
40010,30003,10001,006,06000
40011,30006,10004,008,08000
40012,30003,10001,006,06000
40013,30006,10004,008,08000
40014,30003,10001,006,06000
40015,30005,10001,007,07000
40016,30003,10001,006,06000
40017,30006,10004,008,08000
40018,30005,10001,007,07000
40019,30006,10004,008,08000
40020,30003,10001,006,06000
40021,30007,10005,006,06000
40022,30007,10005,006,06000
40023,30006,10004,008,08000
40024,30006,10004,008,08000
40025,30006,10004,008,08000
40026,30007,10005,006,06000
